id;class_name;path
0;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_12_23970_33053_0.jpg
1;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_17_29939_50658_0.jpg
2;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_12_29798_16724_0.jpg
3;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_5_35777_39821_0.jpg
4;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_5_36193_13931_0.jpg
5;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_6_10296_29100_0.jpg
6;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_3_8818_25127_0.jpg
7;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_5_35149_23353_0.jpg
8;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_5_25668_31237_1.jpg
9;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_12_23680_4464_0.jpg
10;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_2_28592_18978_0.jpg
11;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_9_13021_12272_0.jpg
12;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_5_10168_29375_0.jpg
13;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_6_9520_30273_1.jpg
14;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_9_13021_12309_0.jpg
15;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_17_12326_80470_1.jpg
16;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_5_29067_19482_0.jpg
17;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_6_26176_20705_0.jpg
18;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_15_6138_15159_0.jpg
19;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_8_13021_12309_0.jpg
20;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_5_29040_19532_0.jpg
21;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_5_35149_23391_0.jpg
22;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_5_14579_30551_0.jpg
23;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_17_16803_96697_1.jpg
24;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_6_35188_23391_0.jpg
25;0;DATA/daninhas_full/train/DATASET_BRACHIARIA/ORTOFOTO_12_28706_18978_0.jpg
